datetime,STA,Precip,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather
1942-07-01,10001,1,25,22,23,0,0
1942-07-02,10001,0,28,21,25,0,0
1942-07-03,10001,2,26,22,24,0,0
1942-07-04,10001,2,26,22,24,0,0
1942-07-05,10001,0,26,21,24,0,0
1942-07-06,10001,0,26,21,24,0,0
1942-07-07,10001,3,28,22,25,0,0
1942-07-08,10001,3,26,22,24,0,0
1942-07-09,10001,3,27,22,25,0,0
1942-07-10,10001,3,25,21,23,0,0
1942-07-11,10001,0,25,21,23,0,0
1942-07-12,10001,0,24,22,23,0,0
1942-07-13,10001,0,26,21,23,0,0
1942-07-14,10001,0,26,22,24,0,0
1942-07-15,10001,0,25,22,24,0,0
1942-07-16,10001,0,26,21,23,0,0
1942-07-17,10001,0,28,22,25,0,0
1942-07-18,10001,0,26,21,23,0,0
1942-07-19,10001,0,27,21,24,0,0
1942-07-20,10001,0,26,20,23,0,0
1942-07-21,10001,0,24,21,23,0,0
1942-07-22,10001,0,24,21,22,0,0
1942-07-23,10001,0,26,20,23,0,0
1942-07-24,10001,0,27,18,23,0,0
1942-07-25,10001,0,27,19,23,0,0
1942-07-26,10001,0,25,19,22,0,0
1942-07-27,10001,0,25,19,22,0,0
1942-07-28,10001,0,26,19,23,0,0
1942-07-29,10001,0,26,19,23,0,0
1942-07-30,10001,0,27,19,23,0,0
1942-07-31,10001,0,27,19,23,0,0
1942-08-01,10001,0,26,20,23,0,0
1942-08-02,10001,0,24,20,22,0,0
1942-08-03,10001,0,24,20,22,0,0
1942-08-04,10001,0,26,21,23,0,0
1942-08-05,10001,0,26,21,23,0,0
1942-08-06,10001,0,24,21,23,0,0
1942-08-07,10001,0,24,21,22,0,0
1942-08-08,10001,0,26,20,23,0,0
1942-08-09,10001,0,26,20,23,0,0
1942-08-10,10001,0,27,21,24,0,0
1942-08-11,10001,0,25,21,23,0,0
1942-08-12,10001,0,25,20,23,0,0
1942-08-13,10001,0,25,20,23,0,0
1942-08-14,10001,0,25,20,22,0,0
1942-08-15,10001,0,25,17,21,0,0
1942-08-16,10001,0,25,19,22,0,0
1942-08-17,10001,0,25,20,22,0,0
1942-08-18,10001,0,26,20,23,0,0
1942-08-19,10001,0,27,20,24,0,0
1942-08-20,10001,0,23,20,22,0,0
1942-08-21,10001,0,32,20,23,0,0
1942-08-22,10001,0,27,20,23,0,0
1942-08-23,10001,0,25,20,22,0,0
1942-08-24,10001,0,27,20,24,0,0
1942-08-25,10001,0,26,20,23,0,0
1942-08-26,10001,0,27,20,23,0,0
1942-08-27,10001,0,27,20,23,0,0
1942-08-28,10001,0,27,20,23,0,0
1942-08-29,10001,0,25,21,23,0,0
1942-08-30,10001,0,27,20,23,0,0
1942-08-31,10001,0,27,21,23,0,0
1942-09-01,10001,0,27,21,24,0,0
1942-09-02,10001,0,27,22,25,0,0
1942-09-03,10001,1,27,21,24,0,0
1942-09-04,10001,0,27,21,24,0,0
1942-09-05,10001,0,27,22,24,0,0
1942-09-06,10001,0,26,22,24,0,0
1942-09-07,10001,0,26,21,24,0,0
1942-09-08,10001,0,27,21,24,0,0
1942-09-09,10001,0,26,21,24,0,0
1942-09-10,10001,0,28,21,24,0,0
1942-09-11,10001,0,26,21,23,0,0
1942-09-12,10001,1,27,21,24,0,0
1942-09-13,10001,1,27,21,24,0,0
1942-09-14,10001,1,27,22,25,0,0
1942-09-15,10001,0,27,22,25,0,0
1942-09-16,10001,0,30,21,25,0,0
1942-09-17,10001,0,27,22,25,0,0
1942-09-18,10001,0,31,21,26,0,0
1942-09-19,10001,0,34,22,28,0,0
1942-09-20,10001,0,30,21,26,0,0
1942-09-21,10001,0,29,22,26,0,0
1942-09-22,10001,0,30,22,26,0,0
1942-09-23,10001,0,26,23,25,0,0
1942-09-24,10001,0,25,22,23,0,0
1942-09-25,10001,0,30,21,26,0,0
1942-09-26,10001,0,31,22,27,0,0
1942-09-27,10001,3,31,21,26,0,0
1942-09-28,10001,3,32,20,26,0,0
1942-09-29,10001,0,27,22,25,0,0
1942-09-30,10001,0,29,22,26,0,0
1942-10-01,10001,0,31,23,27,0,0
1942-10-02,10001,0,31,22,27,0,0
1942-10-03,10001,0,31,22,26,0,0
1942-10-04,10001,5,27,21,23,0,0
1942-10-05,10001,0,31,22,26,0,0
1942-10-06,10001,0,29,22,25,0,0
1942-10-07,10001,5,29,22,26,0,0
1942-10-08,10001,2,28,20,25,0,0
1942-10-09,10001,0,31,22,26,0,0
1942-10-10,10001,0,30,22,26,0,0
1942-10-11,10001,0,27,21,24,0,0
1942-10-12,10001,0,30,21,25,0,0
1942-10-13,10001,25,30,22,26,0,0
1942-10-14,10001,25,27,22,24,0,0
1942-10-15,10001,40,30,21,25,0,0
1942-10-16,10001,40,30,22,26,0,0
1942-10-17,10001,40,28,21,25,0,0
1942-10-18,10001,0,30,22,26,0,0
1942-10-19,10001,0,30,21,26,0,0
1942-10-20,10001,2,29,22,26,0,0
1942-10-21,10001,2,28,22,25,0,0
1942-10-22,10001,0,30,22,25,0,0
1942-10-23,10001,0,30,22,26,0,0
1942-10-24,10001,0,30,22,26,0,0
1942-10-25,10001,0,31,22,26,0,0
1942-10-26,10001,0,31,22,26,0,0
1942-10-27,10001,0,31,22,27,0,0
1942-10-28,10001,0,31,22,26,0,0
1942-10-29,10001,0,32,21,26,0,0
1942-10-30,10001,0,31,21,26,0,0
1942-10-31,10001,0,30,20,25,0,0
1942-11-01,10001,0,31,23,27,0,0
1942-11-02,10001,0,31,22,26,0,0
1942-11-03,10001,0,31,22,26,0,0
1942-11-04,10001,0,30,22,26,0,0
1942-11-05,10001,0,31,22,26,0,0
1942-11-06,10001,0,32,22,27,0,0
1942-11-07,10001,0,31,23,27,0,0
1942-11-08,10001,0,31,22,26,0,0
1942-11-09,10001,0,31,22,27,0,0
1942-11-10,10001,0,32,22,27,0,0
1942-11-11,10001,0,32,23,27,0,0
1942-11-12,10001,0,32,22,27,0,0
1942-11-13,10001,0,32,22,27,0,0
1942-11-14,10001,0,32,22,27,0,0
1942-11-15,10001,0,32,22,27,0,0
1942-11-16,10001,0,32,22,27,0,0
1942-11-17,10001,0,32,23,27,0,0
1942-11-18,10001,0,31,23,27,0,0
1942-11-19,10001,0,31,22,27,0,0
1942-11-20,10001,0,31,23,27,0,0
1942-11-21,10001,0,32,22,27,0,0
1942-11-22,10001,0,31,21,26,0,0
1942-11-23,10001,0,32,23,27,0,0
1942-11-24,10001,0,32,23,27,0,0
1942-11-25,10001,0,33,23,28,0,0
1942-11-26,10001,0,32,22,27,0,0
1942-11-27,10001,19,32,21,27,0,0
1942-11-28,10001,0,31,21,26,0,0
1942-11-29,10001,0,32,22,27,0,0
1942-11-30,10001,0,32,23,27,0,0
1942-12-01,10001,0,32,22,27,0,0
1942-12-02,10001,0,32,23,27,0,0
1942-12-03,10001,23,31,19,25,0,0
1942-12-04,10001,0,31,22,26,0,0
1942-12-05,10001,0,31,22,26,0,0
1942-12-06,10001,0,31,22,26,0,0
1942-12-07,10001,0,31,21,26,0,0
1942-12-08,10001,0,32,22,27,0,0
1942-12-09,10001,0,32,23,28,0,0
1942-12-10,10001,4,32,20,26,0,0
1942-12-11,10001,0,29,20,24,0,0
1942-12-12,10001,0,26,19,23,0,0
1942-12-13,10001,0,30,20,25,0,0
1942-12-14,10001,0,31,22,26,0,0
1942-12-15,10001,2,31,22,26,0,0
1942-12-16,10001,0,30,22,26,0,0
1942-12-17,10001,0,31,22,26,0,0
1942-12-18,10001,0,30,22,26,0,0
1942-12-19,10001,0,31,21,26,0,0
1942-12-20,10001,0,31,22,26,0,0
1942-12-21,10001,0,33,18,26,0,0
1942-12-22,10001,0,31,18,25,0,0
1942-12-23,10001,0,32,21,26,0,0
1942-12-24,10001,0,32,22,27,0,0
1942-12-25,10001,0,32,18,25,0,0
1942-12-26,10001,0,32,21,26,0,0
1942-12-27,10001,0,32,17,25,0,0
1942-12-28,10001,0,30,16,23,0,0
1942-12-29,10001,0,32,16,24,0,0
1942-12-30,10001,0,32,18,25,0,0
1942-12-31,10001,0,31,22,26,0,0
1943-01-01,10001,0,31,21,26,0,0
1943-01-02,10001,12,30,23,26,0,0
1943-01-03,10001,0,29,21,25,0,0
1943-01-04,10001,0,30,21,25,0,0
1943-01-05,10001,0,30,20,25,0,0
1943-01-06,10001,0,31,21,26,0,0
1943-01-07,10001,0,32,20,26,0,0
1943-01-08,10001,0,31,22,26,0,0
1943-01-09,10001,0,30,23,26,0,0
1943-01-10,10001,0,33,21,27,0,0
1943-01-11,10001,0,30,21,26,0,0
1943-01-12,10001,0,31,19,25,0,0
1943-01-13,10001,0,31,21,26,0,0
1943-01-14,10001,0,32,22,27,0,0
1943-01-15,10001,0,31,23,27,0,0
1943-01-16,10001,0,31,23,27,0,0
1943-01-17,10001,0,31,22,26,0,0
1943-01-18,10001,0,32,22,27,0,0
1943-01-19,10001,0,31,23,27,0,0
1943-01-20,10001,0,33,22,27,0,0
1943-01-21,10001,0,32,24,28,0,0
1943-01-22,10001,0,31,22,26,0,0
1943-01-23,10001,0,30,23,26,0,0
