datetime,Precip,MaxTemp,MinTemp,MeanTemp
1943-06-09,23,28,22,25
1943-06-10,19,27,20,23
1943-06-11,0,28,21,24
1943-06-12,0,28,22,25
1943-06-13,0,29,25,27
1943-06-14,45,26,24,25
1943-06-15,109,27,22,24
1943-06-16,27,27,22,25
1943-06-17,45,28,22,25
1943-06-18,0,28,22,25
1943-06-19,1,28,23,26
1943-06-20,57,28,23,26
1943-06-21,6,26,22,24
1943-06-22,10,30,21,25
1943-06-23,56,26,21,24
1943-06-24,117,23,21,22
1943-06-25,15,27,21,24
1943-06-26,0,28,23,25
1943-06-27,6,27,23,25
1943-06-28,0,27,22,25
1943-06-29,0,28,22,25
1943-06-30,0,28,22,25
1943-07-01,70,25,22,23
1943-07-02,9,25,22,23
1943-07-03,0,26,23,24
1943-07-04,1,25,22,23
1943-07-05,8,27,22,25
1943-07-06,8,27,22,25
1943-07-07,0,28,22,25
1943-07-08,5,28,22,25
1943-07-09,13,27,22,25
1943-07-10,13,26,22,24
1943-07-11,0,27,24,25
1943-07-12,0,26,22,24
1943-07-13,0,27,22,25
1943-07-14,0,29,24,26
1943-07-15,16,29,24,26
1943-07-16,0,27,22,25
1943-07-17,0,27,23,25
1943-07-18,0,27,23,25
1943-07-19,0,27,22,25
1943-07-20,0,28,21,25
1943-07-21,0,27,22,25
1943-07-22,0,26,23,24
1943-07-23,3,26,23,25
1943-07-24,0,26,22,24
1943-07-25,0,26,23,25
1943-07-26,0,26,21,23
1943-07-27,0,27,22,24
1943-07-28,0,26,23,24
1943-07-29,0,25,22,23
1943-07-30,0,26,22,24
1943-07-31,0,26,22,24
1943-08-01,0,25,22,23
1943-08-02,0,26,20,23
1943-08-03,0,28,19,23
1943-08-04,0,26,20,23
1943-08-05,0,26,22,24
1943-08-06,0,27,21,24
1943-08-07,0,27,21,24
1943-08-08,0,26,22,24
1943-08-09,0,26,23,24
1943-08-10,0,26,22,24
1943-08-11,0,24,21,22
1943-08-12,5,27,22,24
1943-08-13,1,28,21,25
1943-08-14,0,26,22,24
1943-08-15,0,27,22,24
1943-08-16,0,26,21,24
1943-08-17,0,28,21,25
1943-08-18,0,26,18,22
1943-08-19,0,26,21,23
1943-08-20,0,27,22,24
1943-08-21,4,26,19,22
1943-08-22,0,28,22,25
1943-08-23,0,27,22,25
1943-08-24,0,27,22,25
1943-08-25,1,27,22,24
1943-08-26,1,26,23,25
1943-08-27,5,28,22,25
1943-08-28,0,26,22,24
1943-08-29,0,26,23,25
1943-08-30,2,26,21,23
1943-08-31,0,26,22,24
1943-09-01,1,26,22,24
1943-09-02,0,26,22,24
1943-09-03,2,26,23,25
1943-09-04,3,26,22,24
1943-09-05,1,27,23,25
1943-09-06,0,27,20,23
1943-09-07,1,26,22,24
1943-09-08,0,26,23,25
1943-09-09,0,26,23,25
1943-09-10,0,27,22,25
1943-09-11,0,27,21,24
1943-09-12,0,27,23,25
1943-09-13,0,27,23,25
1943-09-14,0,27,22,25
1943-09-15,3,26,23,25
1943-09-16,3,27,23,25
1943-09-17,3,28,22,25
1943-09-18,0,27,22,25
1943-09-19,0,27,23,25
1943-09-20,10,27,22,24
1943-09-21,10,27,21,24
1943-09-22,7,28,21,24
1943-09-23,9,26,21,23
1943-09-24,2,26,22,24
1943-09-25,1,27,22,25
1943-09-26,25,26,21,23
1943-09-27,0,27,21,24
1943-09-28,0,28,23,26
1943-09-29,0,28,22,25
1943-09-30,64,26,21,24
1943-10-01,13,30,21,25
1943-10-02,0,28,22,25
1943-10-03,134,28,22,25
1943-10-04,134,25,22,23
1943-10-05,36,27,22,24
1943-10-06,36,28,21,25
1943-10-07,36,27,22,25
1943-10-08,35,26,22,24
1943-10-09,0,27,22,25
1943-10-10,39,27,22,25
1943-10-11,34,28,22,25
1943-10-12,0,29,23,26
1943-10-13,14,28,22,25
1943-10-14,11,25,21,23
1943-10-15,0,28,21,25
1943-10-16,0,28,22,25
1943-10-17,0,28,23,26
1943-10-18,0,28,23,26
1943-10-19,43,28,20,24
1943-10-20,0,30,20,25
1943-10-21,0,29,22,26
1943-10-22,6,28,21,25
1943-10-23,1,28,22,25
1943-10-24,0,30,22,26
1943-10-25,59,28,22,25
1943-10-26,0,28,23,26
1943-10-27,3,29,22,26
1943-10-28,0,29,22,26
1943-10-29,29,29,22,25
1943-10-30,0,29,22,25
1943-10-31,1,30,22,26
1943-11-01,1,31,24,27
1943-11-02,20,29,23,26
1943-11-03,2,29,22,25
1943-11-04,23,27,22,25
1943-11-05,23,27,22,25
1943-11-06,0,29,23,26
1943-11-07,0,29,23,26
1943-11-08,24,30,22,26
1943-11-09,0,29,22,26
1943-11-10,1,28,23,26
1943-11-11,5,27,23,25
1943-11-12,9,27,23,25
1943-11-13,7,28,22,25
1943-11-14,7,28,22,25
1943-11-15,0,27,21,24
1943-11-16,3,29,22,26
1943-11-17,0,29,22,26
1943-11-18,0,29,23,26
1943-11-19,0,29,24,26
1943-11-20,0,30,23,27
1943-11-21,0,31,23,27
1943-11-22,0,31,23,27
1943-11-23,1,31,26,28
1943-11-24,1,30,25,27
1943-11-25,0,29,24,26
1943-11-26,0,30,23,27
1943-11-27,0,31,23,25
1943-11-28,0,30,23,27
1943-11-29,0,30,23,27
1943-11-30,0,30,23,27
1943-12-01,0,31,23,27
1943-12-02,0,31,23,27
1943-12-03,0,31,23,27
1943-12-04,0,29,23,26
1943-12-05,0,31,23,27
1943-12-06,0,31,27,28
1943-12-07,10,29,22,26
1943-12-08,27,31,22,26
1943-12-09,0,31,23,27
1943-12-10,0,31,23,27
1943-12-11,0,31,23,27
1943-12-12,0,31,23,27
1943-12-13,0,30,23,27
1943-12-14,0,30,24,27
1943-12-15,0,31,23,27
1943-12-16,0,30,22,27
1943-12-17,0,30,23,27
1943-12-18,0,30,23,27
1943-12-19,0,32,23,28
1943-12-20,0,31,22,26
1943-12-21,0,31,23,27
1943-12-22,0,30,24,27
1943-12-23,0,31,27,28
1943-12-24,2,30,23,26
1943-12-25,0,28,23,26
1943-12-26,0,29,23,26
1943-12-27,0,31,23,27
1943-12-28,0,31,24,27
1943-12-29,0,30,23,26
1943-12-30,0,29,24,26
1943-12-31,0,30,23,26
1944-01-01,0,31,23,27
1944-01-02,16,30,21,25
1944-01-03,0,28,21,25
1944-01-04,1,30,23,26
1944-01-05,1,30,23,27
1944-01-06,0,28,23,26
1944-01-07,0,29,22,25
1944-01-08,0,30,23,26
1944-01-09,0,30,23,26
1944-01-10,0,30,23,26
1944-01-11,0,30,23,27
1944-01-12,0,30,23,26
1944-01-13,0,30,25,27
1944-01-14,0,30,23,26
1944-01-15,23,29,23,26
1944-01-16,0,30,23,26
1944-01-17,0,30,23,26
1944-01-18,0,29,23,26
1944-01-19,0,30,23,27
1944-01-20,0,30,24,27
1944-01-21,0,29,23,26
1944-01-22,0,29,19,24
1944-01-23,0,30,20,25
1944-01-24,0,28,22,25
1944-01-25,0,29,21,25
1944-01-26,0,29,22,25
1944-01-27,0,28,23,26
1944-01-28,0,28,23,26
1944-01-29,0,30,22,26
1944-01-30,0,29,21,25
1944-01-31,0,29,20,24
1944-02-01,0,28,20,24
1944-02-02,0,30,20,25
1944-02-03,0,30,20,25
1944-02-04,0,31,20,25
1944-02-05,0,31,20,25
1944-02-06,0,30,19,25
1944-02-07,0,30,20,25
1944-02-08,0,31,21,26
1944-02-09,0,29,21,25
1944-02-10,0,31,24,27
1944-02-11,0,30,22,26
1944-02-12,0,31,23,27
1944-02-13,0,31,23,27
1944-02-14,0,31,25,27
1944-02-15,0,30,25,27
1944-02-16,0,31,25,28
1944-02-17,24,30,20,25
1944-02-18,0,30,23,26
1944-02-19,0,30,21,26
1944-02-20,0,30,25,27
1944-02-21,0,30,26,28
1944-02-22,7,31,21,26
1944-02-23,2,29,22,25
1944-02-24,0,30,22,26
1944-02-25,0,30,24,27
1944-02-26,0,29,25,27
1944-02-27,25,29,22,26
1944-02-28,0,29,23,26
1944-02-29,0,31,23,27
1944-03-01,0,30,26,28
1944-03-02,0,30,25,27
1944-03-03,0,27,23,25
1944-03-04,0,30,22,26
1944-03-05,0,29,25,27
1944-03-06,0,30,23,26
1944-03-07,91,28,21,25
1944-03-08,0,28,22,25
1944-03-09,0,30,24,27
1944-03-10,0,30,25,27
1944-03-11,0,31,25,28
1944-03-12,0,30,25,27
1944-03-13,0,31,27,29
1944-03-14,0,31,28,29
1944-03-15,0,30,27,28
1944-03-16,0,30,26,28
1944-03-17,0,30,23,26
1944-03-18,0,30,24,27
1944-03-19,0,31,25,28
1944-03-20,6,30,24,27
1944-03-21,0,29,25,27
1944-03-22,0,30,25,27
1944-03-23,0,28,24,26
1944-03-24,0,29,23,26
1944-03-25,0,30,24,27
1944-03-26,19,27,23,25
1944-03-27,0,30,22,26
1944-03-28,0,30,24,27
1944-03-29,0,31,25,28
1944-03-30,0,30,26,28
1944-03-31,1,31,23,27
1944-04-01,1,30,22,26
1944-04-02,15,30,23,26
1944-04-03,0,30,22,26
1944-04-04,0,31,24,27
1944-04-05,0,31,25,27
1944-04-06,0,31,27,29
1944-04-07,0,31,26,28
1944-04-08,0,31,25,27
1944-04-09,0,31,25,27
1944-04-10,0,31,26,28
1944-04-11,0,31,27,29
1944-04-12,0,31,27,29
1944-04-13,0,32,24,28
1944-04-14,0,31,25,28
1944-04-16,0,31,27,28
1944-04-17,0,31,28,30
1944-04-18,0,28,23,26
1944-04-19,0,31,23,27
1944-04-20,0,31,27,28
1944-04-21,0,31,25,27
